Player,Pos,Team,Total Value,APY,TotalGuaranteed,AVGGuranteeYear, %Guaranteed,,23624.82895,456 IN LOWER CLASS,,23.218,,,,
Ryan Stonehouse,P,Titans,2570000,856667,10000,3333,0,,,,,,,,,
Tony Adams,S,Jets,2570000,856667,110000,36667,0.04,,,,,,,,,
Wesley French,LG,Colts,2570000,856667,10000,3333,0,,,,,,,,,
Dee Alford,CB,Falcons,2570500,856833,60000,20000,0.02,,,,,,,,,
Jaylen Warren,RB,Steelers,2572000,857333,12000,4000,0.01,,,,,,,,,
Brenden Schooler,S,Patriots,2575000,858333,15000,5000,0.01,,,,,,,,,
Markquese Bell,S,Cowboys,2575000,858333,215000,71667,0.08,,,,,,,,,
Kurt Hinish,IDL,Texans,2585000,861667,85000,28333,0.03,,,,,,,,,
Kader Kohou,CB,Dolphins,2590000,863333,40000,13333,0.02,,,,,,,,,
Ali Gaye,EDGE,Titans,1755000,877500,0,0,0,,,,,,,,,
Anfernee Orji,LB,Saints,1755000,877500,0,0,0,,,,,,,,,
Brandon Hill,S,Texans,1755000,877500,0,0,0,,,,,,,,,
Demani Richardson,S,Panthers,1755000,877500,0,0,0,,,,,,,,,
Durrell Johnson,EDGE,Cowboys,1755000,877500,0,0,0,,,,,,,,,
Earl Bostick Jr.,LT,Cowboys,1755000,877500,0,0,0,,,,,,,,,
Evan Deckers,LS,Buccaneers,1755000,877500,0,0,0,,,,,,,,,
Jalen Coker,WR,Panthers,1755000,877500,0,0,0,,,,,,,,,
Jayden Peevy,IDL,Panthers,1755000,877500,0,0,0,,,,,,,,,
Jaylon Thomas,RT,Texans,1755000,877500,0,0,0,,,,,,,,,
Jordan Mims,RB,Saints,1755000,877500,0,0,0,,,,,,,,,
Jose Ramirez,EDGE,Buccaneers,1755000,877500,0,0,0,,,,,,,,,
Justin Dedich,C,Rams,1755000,877500,0,0,0,,,,,,,,,
Logan Bruss,LT,Rams,1755000,877500,0,0,0,,,,,,,,,
Rejzohn Wright,CB,Saints,1755000,877500,0,0,0,,,,,,,,,
Silas Dzansi,RG,Buccaneers,1755000,877500,0,0,0,,,,,,,,,
Grant Stuard,LB,Colts,3556248,889062,76248,19062,0.02,,,,,,,,,
Will Fries,RG,Colts,3565376,891344,85376,21344,0.02,,,,,,,,,
Jonathon Cooper,EDGE,Broncos,3580672,895168,100672,25168,0.03,,,,,,,,,
Patrick Johnson,LB,Giants,3585872,896468,105872,26468,0.03,,,,,,,,,
A.J. Finley,S,Chargers,2695000,898333,0,0,0,,,,,,,,,
Brandon Aubrey,K,Cowboys,2695000,898333,0,0,0,,,,,,,,,
NaJee Thompson,CB,Vikings,2695000,898333,0,0,0,,,,,,,,,
Markees Watts,EDGE,Buccaneers,2696000,898667,1000,333,0,,,,,,,,,
Malik Hamm,EDGE,Ravens,2697000,899000,2000,667,0,,,,,,,,,
Blake Grupe,K,Saints,2697500,899167,2500,833,0,,,,,,,,,
John Stephens,WR,Cowboys,2698000,899333,3000,1000,0,,,,,,,,,
Alex Ward,LS,Rams,2700000,900000,5000,1667,0,,,,,,,,,
Caleb Murphy,EDGE,Titans,2700000,900000,15000,5000,0.01,,,,,,,,,
Claudin Cherelus,LB,Panthers,2700000,900000,20000,6667,0.01,,,,,,,,,
Isaiah Land,LB,Colts,2700000,900000,100000,33333,0.04,,,,,,,,,
Sean Tucker,RB,Buccaneers,2700000,900000,155000,51667,0.06,,,,,,,,,
Chris Stoll,LS,Seahawks,2701500,900500,6500,2167,0,,,,,,,,,
Brenton Cox Jr.,EDGE,Packers,2704000,901333,9000,3000,0,,,,,,,,,
Malik Heath,WR,Packers,2704000,901333,9000,3000,0,,,,,,,,,
Ben Sims,TE,Packers,2705000,901667,110000,36667,0.04,,,,,,,,,
Christian Izien,S,Buccaneers,2705000,901667,160000,53333,0.06,,,,,,,,,
Eli Ricks,CB,Eagles,2705000,901667,40000,13333,0.02,,,,,,,,,
Jake Bobo,WR,Seahawks,2705000,901667,10000,3333,0,,,,,,,,,
Kahlef Hailassie,CB,Browns,2705000,901667,100000,33333,0.04,,,,,,,,,
Nate Adkins,TE,Broncos,2705000,901667,75000,25000,0.03,,,,,,,,,
T.J. Bass,RG,Cowboys,2705000,901667,150000,50000,0.06,,,,,,,,,
Julian Hill,TE,Dolphins,2707500,902500,42500,14167,0.02,,,,,,,,,
Isaiah McDuffie,LB,Packers,3610704,902676,130704,32676,0.04,,,,,,,,,
Israel Mukuamu,S,Cowboys,3610704,902676,130704,32676,0.04,,,,,,,,,
Khalil Herbert,RB,Bears,3610704,902676,130704,32676,0.04,,,,,,,,,
Sam Ehlinger,QB,Colts,3610704,902676,130704,32676,0.04,,,,,,,,,
Trey Smith,RG,Chiefs,3610704,902676,130704,32676,0.04,,,,,,,,,
Cam Jones,LB,Chiefs,2710000,903333,150000,50000,0.06,,,,,,,,,
Drake Thomas,LB,Seahawks,2710000,903333,100000,33333,0.04,,,,,,,,,
Emari Demercado,RB,Cardinals,2710000,903333,70000,23333,0.03,,,,,,,,,
Jaleel McLaughlin,RB,Broncos,2710000,903333,55000,18333,0.02,,,,,,,,,
Kaevon Merriweather,S,Buccaneers,2710000,903333,231000,77000,0.09,,,,,,,,,
Xavier Gipson,WR,Jets,2710000,903333,165000,55000,0.06,,,,,,,,,
Keaton Mitchell,RB,Ravens,2713000,904333,73000,24333,0.03,,,,,,,,,
Alex Palczewski,LT,Broncos,2715000,905000,80000,26667,0.03,,,,,,,,,
Bryce Ford-Wheaton,WR,Giants,2715000,905000,236000,78667,0.09,,,,,,,,,
Hunter Luepke,RB,Cowboys,2715000,905000,200000,66667,0.07,,,,,,,,,
Ivan Pace Jr.,LB,Vikings,2715000,905000,236000,78667,0.09,,,,,,,,,
Ronnie Hickman,S,Browns,2715000,905000,220000,73333,0.08,,,,,,,,,
Starling Thomas V,CB,Cardinals,2715000,905000,20000,6667,0.01,,,,,,,,,
Mohamoud Diabate,LB,Browns,2720000,906667,250000,83333,0.09,,,,,,,,,
Rakim Jarrett,WR,Buccaneers,2720000,906667,225000,75000,0.08,,,,,,,,,
Tyson Bagent,QB,Bears,2720000,906667,25000,8333,0.01,,,,,,,,,
Damar Hamlin,S,Bills,3640476,910119,160476,40119,0.04,,,,,,,,,
Victor Dimukeje,EDGE,Cardinals,3641860,910465,161860,40465,0.04,,,,,,,,,
Stone Forsythe,LT,Seahawks,3646624,911656,166624,41656,0.05,,,,,,,,,
Landon Young,RT,Saints,3649780,912445,169780,42445,0.05,,,,,,,,,
Chris Evans,RB,Bengals,3652888,913222,172888,43222,0.05,,,,,,,,,
Brandin Echols,CB,Jets,3654192,913548,174192,43548,0.05,,,,,,,,,
Alex Austin,CB,Patriots,915000,915000,0,0,0,,,,,,,,,
Arron Mosby,EDGE,Packers,915000,915000,0,0,0,,,,,,,,,
Bill Murray,LG,Bears,915000,915000,0,0,0,,,,,,,,,
Blake Whiteheart,TE,Browns,915000,915000,0,0,0,,,,,,,,,
Brady Russell,TE,Seahawks,915000,915000,0,0,0,,,,,,,,,
Carter O'Donnell,RG,Cardinals,915000,915000,0,0,0,,,,,,,,,
Dalton Keene,TE,Texans,915000,915000,0,0,0,,,,,,,,,
Daniel Hardy,EDGE,Bears,915000,915000,0,0,0,,,,,,,,,
Daniel Whelan,K,Packers,915000,915000,0,0,0,,,,,,,,,
De'Shaan Dixon,EDGE,Jaguars,915000,915000,0,0,0,,,,,,,,,
Doug Kramer,C,Bears,915000,915000,0,0,0,,,,,,,,,
Dylan Cook,LT,Steelers,915000,915000,0,0,0,,,,,,,,,
Emanuel Wilson,RB,Packers,915000,915000,0,0,0,,,,,,,,,
Esezi Otomewo,EDGE,Jaguars,915000,915000,0,0,0,,,,,,,,,
Jake Tonges,TE,49ers,915000,915000,0,0,0,,,,,,,,,
Jalen Elliott,S,Steelers,915000,915000,0,0,0,,,,,,,,,
James Houston,EDGE,Lions,915000,915000,0,0,0,,,,,,,,,
Jeremiah Moon,EDGE,Steelers,915000,915000,0,0,0,,,,,,,,,
Jonathan Ford,IDL,Packers,915000,915000,0,0,0,,,,,,,,,
Jonathan Sutherland,S,Giants,915000,915000,0,0,0,,,,,,,,,
Jordan Meredith,LG,Raiders,915000,915000,0,0,0,,,,,,,,,
Josh Ross,LB,Ravens,915000,915000,0,0,0,,,,,,,,,
Kanai Mauga,LB,Raiders,915000,915000,0,0,0,,,,,,,,,
LaBryan Ray,IDL,Panthers,915000,915000,0,0,0,,,,,,,,,
McClendon Curtis,LG,Seahawks,915000,915000,0,0,0,,,,,,,,,
Mike Caliendo,LG,Chiefs,915000,915000,0,0,0,,,,,,,,,
Nazeeh Johnson,S,Chiefs,915000,915000,0,0,0,,,,,,,,,
Nesta Jade Silvera,IDL,Raiders,915000,915000,0,0,0,,,,,,,,,
Raequan Williams,IDL,Panthers,915000,915000,0,0,0,,,,,,,,,
Ryan McCollum,C,Steelers,915000,915000,0,0,0,,,,,,,,,
Sam Okuayinonu,EDGE,49ers,915000,915000,0,0,0,,,,,,,,,
Segun Olubi,LB,Colts,915000,915000,0,0,0,,,,,,,,,
Elijah Mitchell,RB,49ers,3663572,915893,183572,45893,0.05,,,,,,,,,
Nick Niemann,LB,Chargers,3694008,923502,214008,53502,0.06,,,,,,,,,
Britain Covey,WR,Eagles,1855000,927500,0,0,0,,,,,,,,,
Brock Hoffman,C,Cowboys,1855000,927500,0,0,0,,,,,,,,,
Chazz Surratt,LB,Jets,1855000,927500,0,0,0,,,,,,,,,
D.J. Turner,WR,Raiders,1855000,927500,0,0,0,,,,,,,,,
J.J. Russell,LB,Buccaneers,1855000,927500,0,0,0,,,,,,,,,
Janarius Robinson,EDGE,Raiders,1855000,927500,0,0,0,,,,,,,,,
Joey Blount,S,Cardinals,1855000,927500,0,0,0,,,,,,,,,
Kion Smith,RT,Dolphins,1855000,927500,0,0,0,,,,,,,,,
Micah Abernathy,S,Falcons,1855000,927500,0,0,0,,,,,,,,,
Nephi Sewell,LB,Saints,1855000,927500,0,0,0,,,,,,,,,
Tariq Castro-Fields,CB,Panthers,1855000,927500,0,0,0,,,,,,,,,
Timmy Horne,IDL,Giants,1855000,927500,0,0,0,,,,,,,,,
Xavier Newman-Johnson,RG,Jets,1855000,927500,0,0,0,,,,,,,,,
Avery Williams,RB,Falcons,3720152,930038,240152,60038,0.07,,,,,,,,,
Talanoa Hufanga,S,49ers,3720152,930038,240152,60038,0.07,,,,,,,,,
Brock Purdy,QB,49ers,3737012,934253,77012,19253,0.02,,,,,,,,,
Elijah Hicks,S,Bears,3737012,934253,77012,19253,0.02,,,,,,,,,
Isiah Pacheco,RB,Chiefs,3739108,934777,79108,19777,0.02,,,,,,,,,
Rasheed Walker,LT,Packers,3740876,935219,80876,20219,0.02,,,,,,,,,
Skylar Thompson,QB,Dolphins,3742208,935552,82208,20552,0.02,,,,,,,,,
Jaylen Watson,CB,Chiefs,3745368,936342,85368,21342,0.02,,,,,,,,,
K.J. Britt,LB,Buccaneers,3746296,936574,266296,66574,0.07,,,,,,,,,
Jason Pinnock,S,Giants,3750448,937612,270448,67612,0.07,,,,,,,,,
Rodney Thomas,CB,Colts,3755384,938846,95384,23846,0.03,,,,,,,,,
Thayer Munford,RT,Raiders,3757060,939265,97060,24265,0.03,,,,,,,,,
Deane Leonard,CB,Chargers,3759664,939916,99664,24916,0.03,,,,,,,,,
Tedarrell Slaton,IDL,Packers,3760520,940130,280520,70130,0.08,,,,,,,,,
Dareke Young,WR,Seahawks,3761100,940275,101100,25275,0.03,,,,,,,,,
Baylon Spector,LB,Bills,3763728,940932,103728,25932,0.03,,,,,,,,,
Chris Paul,LG,Commanders,3764448,941112,104448,26112,0.03,,,,,,,,,
Deommodore Lenoir,CB,49ers,3764868,941217,284868,71217,0.08,,,,,,,,,
Mark Robinson,LB,Steelers,3772356,943089,112356,28089,0.03,,,,,,,,,
Brandon Codrington,CB,Bills,2830000,943333,0,0,0,,,,,,,,,
Camron Peterson,EDGE,Saints,2830000,943333,0,0,0,,,,,,,,,
Carson Steele,RB,Chiefs,2830000,943333,15000,5000,0.01,,,,,,,,,
Chris Collins,EDGE,Chargers,2830000,943333,0,0,0,,,,,,,,,
Jalen Sundell,LT,Seahawks,2830000,943333,0,0,0,,,,,,,,,
Patrick Murtagh,LS,Jaguars,2830000,943333,225000,75000,0.08,,,,,,,,,
Tomari Fox,IDL,Raiders,2830000,943333,0,0,0,,,,,,,,,
Elijah Chatman,IDL,Giants,2831000,943667,1000,333,0,,,,,,,,,
Hogan Hatten,LS,Lions,2831000,943667,1000,333,0,,,,,,,,,
McKade Mettauer,RG,Chiefs,2831000,943667,1000,333,0,,,,,,,,,
Loren Strickland,S,Lions,2831500,943833,5000,1667,0,,,,,,,,,
Montaric Brown,CB,Jaguars,3775980,943995,115980,28995,0.03,,,,,,,,,
Charles Woods,CB,Rams,2832000,944000,2000,667,0,,,,,,,,,
Deion Jennings,LB,Ravens,2832000,944000,2000,667,0,,,,,,,,,
Joe Andreessen,LB,Bills,2832500,944167,2500,833,0,,,,,,,,,
Brayden Narveson,K,Packers,2835000,945000,5000,1667,0,,,,,,,,,
Christian Roland-Wallace,CB,Chiefs,2835000,945000,155000,51667,0.06,,,,,,,,,
Marcus Riley,WR,Jets,2835000,945000,15000,5000,0.01,,,,,,,,,
Norell Pollard,IDL,Commanders,2835000,945000,25000,8333,0.01,,,,,,,,,
Taki Taimani,IDL,Vikings,2835000,945000,100000,33333,0.04,,,,,,,,,
Lance Robinson,CB,Bengals,2837000,945667,7000,2333,0,,,,,,,,,
Nate Hobbs,CB,Raiders,3783052,945763,303052,75763,0.08,,,,,,,,,
David Martin-Robinson,TE,Titans,2837500,945833,17500,5833,0.01,,,,,,,,,
Ian Wheeler,RB,Bears,2837500,945833,7500,2500,0,,,,,,,,,
Dell Pettus,S,Patriots,2839000,946333,9000,3000,0,,,,,,,,,
Eli Neal,LB,Rams,2839000,946333,9000,3000,0,,,,,,,,,
Omar Speights,LB,Rams,2839000,946333,9000,3000,0,,,,,,,,,
Brenden Bates,TE,Jets,2840000,946667,60000,20000,0.02,,,,,,,,,
Cole Spencer,C,Titans,2840000,946667,75000,25000,0.03,,,,,,,,,
Colson Yankoff,RB,Commanders,2840000,946667,50000,16667,0.02,,,,,,,,,
Dallin Holker,TE,Saints,2840000,946667,235000,78333,0.08,,,,,,,,,
Dwight McGlothern,CB,Vikings,2840000,946667,30000,10000,0.01,,,,,,,,,
Grayson Murphy,EDGE,Dolphins,2840000,946667,70000,23333,0.03,,,,,,,,,
Jeff Foreman,WR,Raiders,2840000,946667,55000,18333,0.02,,,,,,,,,
Jeremy Flax,RG,Vikings,2840000,946667,50000,16667,0.02,,,,,,,,,
Jimmy Ciarlo,LB,Jets,2840000,946667,110000,36667,0.04,,,,,,,,,
Kameron Johnson,WR,Buccaneers,2840000,946667,10000,3333,0,,,,,,,,,
Leonard Taylor,IDL,Jets,2840000,946667,110000,36667,0.04,,,,,,,,,
Mason Tipton,WR,Saints,2840000,946667,110000,36667,0.04,,,,,,,,,
Matthew Hayball,P,Saints,2840000,946667,35000,11667,0.01,,,,,,,,,
Ralen Goforth,LB,Packers,2840000,946667,10000,3333,0,,,,,,,,,
Shemar Bartholomew,CB,Panthers,2840000,946667,105000,35000,0.04,,,,,,,,,
Thomas Harper,CB,Raiders,2840000,946667,30000,10000,0.01,,,,,,,,,
Tyler Mclellan,RT,Chargers,2840000,946667,10000,3333,0,,,,,,,,,
X'Zauvea Gadlin,LG,Titans,2840000,946667,85000,28333,0.03,,,,,,,,,
Cody Schrader,RB,Rams,2842000,947333,232000,77333,0.08,,,,,,,,,
Darrick Forrest,S,Commanders,3791076,947769,311076,77769,0.08,,,,,,,,,
Derion Kendrick,CB,Rams,3792012,948003,132012,33003,0.04,,,,,,,,,
Ja'Sir Taylor,CB,Chargers,3792012,948003,132012,33003,0.04,,,,,,,,,
Kalia Davis,IDL,49ers,3792012,948003,132012,33003,0.04,,,,,,,,,
Ko Kieft,TE,Buccaneers,3792012,948003,132012,33003,0.04,,,,,,,,,
Quentin Lake,S,Rams,3792012,948003,132012,33003,0.04,,,,,,,,,
Andrew Meyer,C,Dolphins,2845000,948333,90000,30000,0.03,,,,,,,,,
Andrew Raym,C,Panthers,2845000,948333,240000,80000,0.08,,,,,,,,,
British Brooks,RB,Texans,2845000,948333,240000,80000,0.08,,,,,,,,,
Isaiah Williams,WR,Lions,2845000,948333,240000,80000,0.08,,,,,,,,,
Jaylen McCollough,S,Rams,2845000,948333,15000,5000,0.01,,,,,,,,,
Julius Wood,S,Titans,2845000,948333,190000,63333,0.07,,,,,,,,,
Maema Njongmeta,LB,Bengals,2845000,948333,15000,5000,0.01,,,,,,,,,
Nate Lynn,EDGE,Lions,2845000,948333,15000,5000,0.01,,,,,,,,,
Popo Aumavae,IDL,Panthers,2845000,948333,55000,18333,0.02,,,,,,,,,
Rico Payton,CB,Saints,2845000,948333,45000,15000,0.02,,,,,,,,,
Tommy Doyle,LT,Bills,3795732,948933,315732,78933,0.08,,,,,,,,,
Brenden Jaimes,C,Chargers,3797796,949449,317796,79449,0.08,,,,,,,,,
Amari Gainer,EDGE,Raiders,2850000,950000,120000,40000,0.04,,,,,,,,,
Braiden McGregor,EDGE,Jets,2850000,950000,220000,73333,0.08,,,,,,,,,
Brevyn Spann-Ford,TE,Cowboys,2850000,950000,245000,81667,0.09,,,,,,,,,
Eric Watts,EDGE,Jets,2850000,950000,245000,81667,0.09,,,,,,,,,
Gabriel Murphy,EDGE,Vikings,2850000,950000,245000,81667,0.09,,,,,,,,,
Storm Duck,CB,Dolphins,2850000,950000,170000,56667,0.06,,,,,,,,,
Tyler Owens,S,Commanders,2850000,950000,245000,81667,0.09,,,,,,,,,
Tyrek Funderburk,CB,Buccaneers,2850000,950000,100000,33333,0.04,,,,,,,,,
Isaiahh Loudermilk,IDL,Steelers,3800288,950072,320288,80072,0.08,,,,,,,,,
Jaylon Moore,LT,49ers,3803036,950759,323036,80759,0.09,,,,,,,,,
Beanie Bishop,CB,Steelers,2855000,951667,25000,8333,0.01,,,,,,,,,
Beau Brade,S,Ravens,2855000,951667,45000,15000,0.02,,,,,,,,,
Blake Watson,RB,Broncos,2855000,951667,275000,91667,0.1,,,,,,,,,
David White Jr.,WR,Jaguars,2855000,951667,250000,83333,0.09,,,,,,,,,
Dee Williams,WR,Seahawks,2855000,951667,125000,41667,0.04,,,,,,,,,
Frank Crum,RT,Broncos,2855000,951667,275000,91667,0.1,,,,,,,,,
Jacob Johanning,RG,Raiders,2855000,951667,100000,33333,0.04,,,,,,,,,
Tony Fields II,LB,Browns,3809752,952438,329752,82438,0.09,,,,,,,,,
Larry Borom,RT,Bears,3813076,953269,333076,83269,0.09,,,,,,,,,
Jake Kubas,RG,Giants,2860000,953333,270000,90000,0.09,,,,,,,,,
Javion Cohen,LG,Browns,2860000,953333,205000,68333,0.07,,,,,,,,,
Xavier Weaver,WR,Cardinals,2860000,953333,255000,85000,0.09,,,,,,,,,
Connor Heyward,TE,Steelers,3815224,953806,155224,38806,0.04,,,,,,,,,
Kenneth Gainwell,RB,Eagles,3815524,953881,335524,83881,0.09,,,,,,,,,
Dalton Tucker,RG,Colts,2870000,956667,240000,80000,0.08,,,,,,,,,
Ethan Driskell,RT,Chiefs,2870000,956667,265000,88333,0.09,,,,,,,,,
Ta'Quon Graham,IDL,Falcons,3830612,957653,350612,87653,0.09,,,,,,,,,
Brevin Jordan,TE,Texans,3832184,958046,325184,81296,0.09,,,,,,,,,
Grant Calcaterra,TE,Eagles,3834140,958535,174140,43535,0.05,,,,,,,,,
Jamien Sherwood,LB,Jets,3834856,958714,354856,88714,0.09,,,,,,,,,
Jamaree Salyer,RG,Chargers,3835932,958983,175932,43983,0.05,,,,,,,,,
Luke Farrell,TE,Jaguars,3838020,959505,358020,89505,0.09,,,,,,,,,
Andrew Ogletree,TE,Colts,3838192,959548,178192,44548,0.05,,,,,,,,,
Curtis Jacobs,LB,Patriots,2880000,960000,275000,91667,0.1,,,,,,,,,
Jalen Nailor,WR,Vikings,3840660,960165,180660,45165,0.05,,,,,,,,,
Amare Barno,EDGE,Panthers,3845408,961352,185408,46352,0.05,,,,,,,,,
Malcolm Rodriguez,LB,Lions,3847928,961982,187928,46982,0.05,,,,,,,,,
Nick Zakelj,LG,49ers,3850360,962590,190360,47590,0.05,,,,,,,,,
Josh Wallace,CB,Rams,2890000,963333,60000,20000,0.02,,,,,,,,,
Christian Benford,CB,Bills,3854280,963570,194280,48570,0.05,,,,,,,,,
Vederian Lowe,LT,Patriots,3857872,964468,197872,49468,0.05,,,,,,,,,
Brandon Pili,IDL,Dolphins,1945000,972500,0,0,0,,,,,,,,,
Buddy Johnson,LB,Cowboys,1945000,972500,0,0,0,,,,,,,,,
Christopher Brooks,RB,Packers,1945000,972500,0,0,0,,,,,,,,,
Ethan Bonner,CB,Dolphins,1945000,972500,0,0,0,,,,,,,,,
Jake Browning,QB,Bengals,1945000,972500,0,0,0,,,,,,,,,
Rodney Williams II,TE,Steelers,1945000,972500,0,0,0,,,,,,,,,
Thomas Booker,IDL,Eagles,1945000,972500,0,0,0,,,,,,,,,
Tristin McCollum,CB,Eagles,1945000,972500,0,0,0,,,,,,,,,
Damone Clark,LB,Cowboys,3902556,975639,242556,60639,0.06,,,,,,,,,
John Ridgeway,IDL,Saints,3902556,975639,242556,60639,0.06,,,,,,,,,
Kingsley Enagbare,EDGE,Packers,3902556,975639,242556,60639,0.06,,,,,,,,,
